article_title,page_size,num_watchers,num_edits,num_redirects,creation_date,last_edit_date,authors_in_last30,page_views_last30
List of ethnic groups in Tanzania,"5,993",Fewer than 30 watchers,166,Yes,"23:05, 25 June 2005","19:37, 16 September 2017",0,"2,443"
Kastner,976,Fewer than 30 watchers,59,Yes,"15:32, 7 August 2005","20:11, 1 January 2018",1,265
Boris Beizer,"3,206",Fewer than 30 watchers,33,Yes,"01:36, 23 November 2009","14:17, 23 January 2018",2,168
Nommay,"1,887",Fewer than 30 watchers,46,Yes,"14:31, 5 February 2008","15:59, 26 June 2017",0,443
Mel Bernie Company,"8,911",Fewer than 30 watchers,159,Yes,"02:51, 29 December 2005","21:14, 31 March 2017",0,209
"Ibo, o sangue do silêncio","1,269",Fewer than 30 watchers,15,Yes,"14:33, 8 March 2012","03:35, 29 November 2017",0,66
Mariam Mfaki,"1,732",Fewer than 30 watchers,8,Yes,"02:45, 20 August 2015","15:32, 4 July 2017",0,30
2004–05 Serbian Second League,"5,645",Fewer than 30 watchers,6,Yes,"20:17, 8 February 2014","17:21, 14 September 2015",0,61
List of ,"55,267",49,"1,128",135,"21:53, 4 December 2006","04:24, 10 January 2018",2,"8,288"
Giannaioi,"1,702",Fewer than 30 watchers,16,Yes,"02:11, 2 November 2007","08:47, 22 January 2017",0,72
"Warblewo, Pomeranian Voivodeship","2,242",Fewer than 30 watchers,16,Yes,"10:29, 23 February 2009","10:11, 22 March 2017",0,30
"Poylu, Poylu","1,637",Fewer than 30 watchers,13,Yes,"20:36, 23 September 2008","09:38, 29 March 2017",0,79
Addie MS,"13,938",Fewer than 30 watchers,60,Yes,"07:40, 2 March 2012","22:35, 13 November 2017",0,492
Michigan-Ontario Collegiate Conference,"1,385",Fewer than 30 watchers,2,Yes,"17:12, 26 October 2015","05:31, 4 March 2017",0,45
1919 Cornell Big Red football team,"1,646",Fewer than 30 watchers,6,Yes,"15:30, 12 December 2015","23:12, 29 July 2017",0,22
Skydiver (submarine),"6,363",Fewer than 30 watchers,43,Yes,"06:53, 9 September 2005","06:04, 23 November 2017",0,280
"Waldeck, Texas",806,Fewer than 30 watchers,11,Yes,"00:09, 14 April 2008","08:30, 4 September 2016",0,56
Rabe v. Washington,"15,578",Fewer than 30 watchers,38,Yes,"04:45, 23 October 2017","16:30, 16 January 2018",1,91
MS ,"5,825",Fewer than 30 watchers,10,Yes,"17:37, 20 June 2010","03:18, 16 October 2016",0,87
Triambak Sharma,"3,456",Fewer than 30 watchers,46,Yes,"12:29, 7 February 2010","11:30, 31 August 2016",0,184
Carll S. Burr Mansion,"2,016",Fewer than 30 watchers,21,Yes,"01:11, 10 March 2010","21:49, 29 July 2017",0,85
1939 in country music,"3,511",Fewer than 30 watchers,45,Yes,"22:22, 16 May 2007","22:43, 11 December 2017",0,245
Vijaya Kumari Ganti,"4,750",Fewer than 30 watchers,15,Yes,"14:27, 3 November 2017","21:40, 17 January 2018",1,168
João Magueijo,"5,169",Fewer than 30 watchers,241,Yes,"20:28, 10 July 2005","11:00, 24 November 2017",0,777
Savage Garden discography,"18,890",Fewer than 30 watchers,216,Yes,"15:25, 11 May 2008","09:20, 14 December 2017",0,"2,499"
Panehesy (Vizier),"3,146",Fewer than 30 watchers,10,Yes,"13:43, 3 August 2010","07:35, 24 November 2015",0,58
"Sacred Heart Church, Gibraltar","2,343",Fewer than 30 watchers,19,Yes,"13:14, 30 December 2012","16:38, 30 November 2017",0,69
"Please, Please, Please","7,411",Fewer than 30 watchers,189,Yes,"22:55, 29 August 2005","08:38, 17 November 2017",0,"2,127"
"Ustick Township, Whiteside County, Illinois","4,182",Fewer than 30 watchers,32,Yes,"17:54, 10 February 2007","18:15, 14 January 2018",1,36
Malcolm Pirnie,"2,241",Fewer than 30 watchers,8,Yes,"00:41, 16 September 2017","13:46, 9 January 2018",1,101
Cameroon People's Democratic Movement,"7,082",Fewer than 30 watchers,96,Yes,"21:13, 17 December 2003","23:32, 10 December 2017",0,"1,391"
Ruth White (children's author),"1,903",Fewer than 30 watchers,64,Yes,"23:23, 20 May 2008","03:06, 21 June 2017",0,152
Alexandria Process,"2,754",Fewer than 30 watchers,21,Yes,"14:26, 2 September 2007","02:27, 31 July 2017",0,68
William H. French,"9,313",Fewer than 30 watchers,93,Yes,"02:08, 19 November 2005","07:12, 28 October 2017",0,669
Hill of Ward,"2,594",Fewer than 30 watchers,35,Yes,"19:11, 24 April 2007","20:07, 21 February 2017",0,250
WorldView-1,"5,208",Fewer than 30 watchers,63,Yes,"20:24, 11 September 2007","03:28, 28 December 2016",0,323
"Robert I, Count of Conversano","1,217",Fewer than 30 watchers,34,Yes,"22:59, 7 May 2006","23:33, 29 February 2016",0,59
Museum Nahdlatul Ulama,"1,100",Fewer than 30 watchers,20,Yes,"06:13, 28 February 2012","18:59, 15 May 2016",0,70
Albillo,"5,123",Fewer than 30 watchers,37,Yes,"09:48, 12 October 2008","07:42, 25 May 2017",0,228
List of number-one country singles of 2015 (U.S.),"33,451",Fewer than 30 watchers,97,Yes,"21:39, 22 December 2014","05:26, 8 January 2018",1,"1,135"
Adele DeLeeuw,"2,096",Fewer than 30 watchers,21,Yes,"14:39, 28 March 2011","18:13, 8 September 2017",0,45
Hammad Husain,"4,731",Fewer than 30 watchers,141,Yes,"08:35, 8 September 2008","16:35, 22 November 2017",0,140
Dingadee railway station,803,Fewer than 30 watchers,13,Yes,"11:04, 11 August 2009","23:35, 17 March 2015",0,66
Miles Nightingall,"5,238",Fewer than 30 watchers,57,Yes,"16:07, 8 January 2009","15:33, 12 August 2017",0,87
Lensvik Church,"2,431",Fewer than 30 watchers,8,Yes,"03:14, 22 January 2011","17:43, 20 December 2017",0,37
The Magician's Code,"9,302",Fewer than 30 watchers,405,Yes,"23:47, 23 March 2012","21:37, 25 November 2017",0,896
Aleksandr Filimonov,"12,936",Fewer than 30 watchers,219,Yes,"14:58, 27 January 2006","17:53, 19 January 2018",2,253
The Story of Mel,"7,512",Fewer than 30 watchers,93,Yes,"06:06, 15 December 2004","11:30, 1 January 2018",1,689
Origin,"6,355",Fewer than 30 watchers,22,Yes,"16:57, 25 April 2015","03:57, 8 March 2017",0,127
"Pushmataha County, Oklahoma","48,883",Fewer than 30 watchers,238,Yes,"22:52, 25 September 2002","17:45, 7 December 2017",0,949
HD 211415,"10,574",Fewer than 30 watchers,57,Yes,"23:28, 19 February 2006","15:40, 6 January 2018",1,111
2010 Tri Nations Series,"53,374",Fewer than 30 watchers,335,Yes,"11:57, 18 May 2010","16:27, 1 December 2017",0,236
Antarctodomus okutanii,"1,126",Fewer than 30 watchers,9,Yes,"11:41, 17 April 2010","17:21, 15 November 2016",0,25
John Makhoul,"1,514",Fewer than 30 watchers,6,Yes,"06:29, 23 January 2018","16:54, 23 January 2018",4,
"Saint-Gratien, Val-d'Oise","2,700",Fewer than 30 watchers,63,Yes,"11:46, 3 March 2006","04:43, 8 December 2017",0,312
The Three Princes and their Beasts,"4,333",Fewer than 30 watchers,37,Yes,"02:05, 30 June 2006","18:22, 18 May 2017",0,322
Shoitan Manush,"1,355",Fewer than 30 watchers,6,Yes,"09:36, 23 July 2017","08:17, 29 August 2017",0,24
Hydra Billing,"5,464",Fewer than 30 watchers,22,Yes,"12:18, 15 April 2016","09:58, 4 March 2017",0,35
Hartman Creek,885,Fewer than 30 watchers,7,Yes,"22:48, 6 September 2016","22:09, 30 October 2017",0,24
"Springdale, Utah","8,274",Fewer than 30 watchers,121,Yes,"15:10, 25 October 2002","23:54, 18 January 2018",2,"1,490"
Konstantin Morozov,"1,941",Fewer than 30 watchers,43,Yes,"16:57, 18 May 2010","07:27, 5 January 2018",1,46
Mike Goodfellow,"1,600",Fewer than 30 watchers,18,Yes,"16:35, 24 June 2010","20:58, 4 August 2017",0,31
2012 Tennis Napoli Cup,"2,312",Fewer than 30 watchers,13,Yes,"16:54, 21 April 2012","16:21, 30 April 2017",0,30
Joshua James Guppey,"3,752",Fewer than 30 watchers,14,Yes,"10:12, 19 February 2012","07:46, 19 June 2017",0,74
David Teles,"1,958",Fewer than 30 watchers,3,Yes,"23:19, 23 July 2017","21:30, 25 July 2017",0,45
Aimo Aho,"1,632",Fewer than 30 watchers,33,Yes,"03:28, 3 February 2015","14:07, 19 January 2018",1,49
Polyptychus distensus,609,Fewer than 30 watchers,12,Yes,"14:51, 12 January 2011","18:51, 17 September 2017",0,32
Silvano Miniati,"2,191",Fewer than 30 watchers,7,Yes,"22:59, 19 November 2016","06:02, 20 November 2017",0,29
Battle of Fort Rivière,"5,772",Fewer than 30 watchers,61,Yes,"08:42, 16 July 2010","07:21, 13 January 2018",2,329
"Mec, Poland","1,742",Fewer than 30 watchers,6,Yes,"13:24, 10 March 2009","19:29, 25 March 2017",0,41
PalaCalafiore,845,Fewer than 30 watchers,14,Yes,"13:52, 12 November 2006","08:36, 16 March 2013",0,92
Basilicata,"21,639",37,676,1,"22:40, 29 September 2002","08:57, 22 January 2018",2,"11,933"
Singing Bones,"2,440",Fewer than 30 watchers,38,Yes,"21:17, 17 August 2010","20:47, 18 August 2017",0,"1,193"
Temple,"28,097",137,"1,788",16,"17:51, 7 April 2002","15:39, 23 January 2018",1,"19,833"
Technology trajectory,"1,361",Fewer than 30 watchers,22,Yes,"09:26, 21 February 2006","17:59, 23 November 2017",0,162
The Devil-Ship Pirates,"4,246",Fewer than 30 watchers,88,Yes,"13:04, 2 January 2006","20:58, 31 August 2017",0,421
"Altes Rathaus, Hanover","1,615",Fewer than 30 watchers,7,Yes,"13:33, 9 January 2017","17:06, 22 July 2017",0,66
Midnight (wrestler),"4,347",Fewer than 30 watchers,98,Yes,"17:25, 31 July 2005","14:38, 22 August 2017",0,"1,016"
Parides klagesi,"2,302",Fewer than 30 watchers,32,Yes,"15:11, 31 July 2007","21:05, 14 November 2017",0,58
List of villages in Ingapu Township,"65,974",Fewer than 30 watchers,5,Yes,"15:16, 28 September 2011","04:14, 28 June 2012",0,99
2013 Armed Forces Bowl,"8,230",Fewer than 30 watchers,33,Yes,"02:49, 17 November 2013","01:32, 24 December 2017",0,283
Spahovići,"2,429",Fewer than 30 watchers,10,Yes,"19:43, 16 August 2010","07:11, 25 March 2017",0,25
National Bank of Ukraine (building),"2,203",Fewer than 30 watchers,40,Yes,"00:47, 28 August 2006","21:38, 29 November 2016",0,93
You Oughta Know,"35,058",32,774,3,"06:31, 31 January 2004","22:10, 6 January 2018",3,"11,772"
WBCY,"1,821",Fewer than 30 watchers,13,Yes,"00:26, 17 July 2008","00:02, 17 June 2017",0,65
Ohio State Route 546,"7,565",Fewer than 30 watchers,31,Yes,"22:50, 20 December 2006","00:59, 18 November 2015",0,30
"Matei, Bistrița-Năsăud","1,518",Fewer than 30 watchers,22,Yes,"21:21, 18 July 2008","13:27, 1 January 2018",1,52
Chlorothiazide,"3,871",Fewer than 30 watchers,102,Yes,"20:50, 30 April 2006","00:56, 28 October 2017",0,"1,862"
Les Églisottes-et-Chalaures,"1,463",Fewer than 30 watchers,44,Yes,"20:41, 13 February 2008","08:52, 29 June 2017",0,93
The Evpatoria Report,"3,087",Fewer than 30 watchers,101,Yes,"01:56, 27 March 2006","04:07, 10 October 2017",0,667
Athelstan Riley,"2,394",Fewer than 30 watchers,23,Yes,"18:47, 29 April 2011","16:20, 27 May 2017",0,74
Hymenoptera genome database,"2,097",Fewer than 30 watchers,14,Yes,"17:33, 28 April 2011","09:26, 26 September 2016",0,69
The Temptations,"87,594",149,"2,593",11,"22:21, 15 November 2002","07:49, 19 January 2018",6,"143,365"
Charles W. Baker Airport,"4,321",Fewer than 30 watchers,30,Yes,"03:53, 28 July 2009","15:02, 29 October 2017",0,70
Cumman,459,Fewer than 30 watchers,3,Yes,"07:52, 21 May 2013","08:09, 20 December 2015",0,74
"Deh-e Hajji Hoseyn, Hirmand","1,918",Fewer than 30 watchers,3,Yes,"19:58, 13 February 2014","12:21, 16 March 2017",0,19
Ermita de San Nicolas de Tolentino,"2,809",Fewer than 30 watchers,17,Yes,"09:41, 3 June 2014","04:56, 14 December 2016",0,84
Tinker Brothers,"2,679",Fewer than 30 watchers,62,Yes,"00:04, 3 July 2017","03:28, 28 November 2017",0,41
2007–08 NCAA Division I men's basketball season,"90,635",Fewer than 30 watchers,328,Yes,"14:37, 2 March 2008","02:52, 24 September 2017",0,"1,905"
Kasom khullen,"3,990",Fewer than 30 watchers,32,Yes,"15:21, 3 June 2016","14:49, 5 October 2017",0,46
Stanley Butler,"2,367",Fewer than 30 watchers,10,Yes,"13:27, 6 July 2014","07:01, 9 September 2015",0,27
Nibthwaite,"1,857",Fewer than 30 watchers,10,Yes,"12:56, 12 October 2014","23:30, 18 October 2017",0,47
Karlos Rosé,"2,338",Fewer than 30 watchers,24,Yes,"19:17, 2 February 2014","16:07, 6 December 2017",0,179
Andrew Berry,"6,002",Fewer than 30 watchers,71,Yes,"22:14, 6 August 2010","13:56, 18 October 2017",0,380
Andreas Stöberl,"15,345",Fewer than 30 watchers,75,Yes,"19:15, 3 October 2005","17:12, 1 July 2017",0,42
Perambur,"13,059",Fewer than 30 watchers,505,Yes,"07:51, 16 December 2005","09:30, 23 January 2018",1,"2,464"
Scott M. Gimple,"9,652",Fewer than 30 watchers,271,Yes,"19:56, 8 March 2005","12:28, 3 January 2018",14,"8,842"
Julius Hagen,"15,024",Fewer than 30 watchers,150,Yes,"21:40, 28 March 2010","08:32, 23 July 2017",0,174
Taproot,"6,010",51,335,5,"03:59, 12 July 2004","14:27, 14 November 2017",0,"11,411"
Bob Connolly (Canadian film director),"5,522",Fewer than 30 watchers,118,Yes,"08:07, 5 December 2013","13:11, 5 June 2016",0,77
George Alexander Drew (Liberal-Conservative MP),"2,764",Fewer than 30 watchers,15,Yes,"20:34, 25 October 2007","02:25, 31 January 2017",0,58
National Gallery of Bosnia and Herzegovina,"2,049",Fewer than 30 watchers,23,Yes,"13:17, 7 January 2012","06:43, 5 December 2017",0,94
Praxis (art collaborative),"7,156",Fewer than 30 watchers,20,Yes,"09:07, 15 April 2015","15:16, 18 January 2018",1,196
Wyit Sprowls Covered Bridge,"2,054",Fewer than 30 watchers,25,Yes,"03:37, 6 July 2010","04:17, 26 October 2017",0,33
Tatyana Doncheva,"6,872",Fewer than 30 watchers,23,Yes,"20:54, 2 February 2015","17:38, 28 November 2017",0,88
Christopher Goutman,"3,991",Fewer than 30 watchers,80,Yes,"20:13, 18 November 2006","07:55, 13 November 2017",0,425
Abul Hasan (cricketer),"6,855",Fewer than 30 watchers,139,Yes,"12:36, 6 April 2012","00:12, 28 December 2017",1,753
Taftan-e Jonubi Rural District,"3,139",Fewer than 30 watchers,6,Yes,"23:47, 14 February 2014","07:40, 9 December 2017",0,17
Arcus cloud,"7,231",41,220,7,"05:55, 23 July 2006","03:17, 25 May 2017",0,"4,528"
"Natalie Evans, Baroness Evans of Bowes Park","7,445",Fewer than 30 watchers,92,Yes,"00:04, 3 October 2014","22:38, 25 November 2017",0,"8,160"
Glen Froseth,"2,045",Fewer than 30 watchers,18,Yes,"21:28, 1 October 2014","07:35, 3 September 2017",0,34
San Lorenzo de Tormes,"1,703",Fewer than 30 watchers,33,Yes,"13:34, 8 September 2007","03:32, 14 January 2018",1,54
Fatty Girl,"2,666",Fewer than 30 watchers,22,Yes,"04:25, 2 August 2012","20:22, 30 November 2016",0,541
Andlu,"4,643",Fewer than 30 watchers,81,Yes,"10:27, 21 August 2007","09:41, 3 December 2017",0,99
Border Reivers,"31,313",57,580,11,"06:41, 26 January 2004","00:09, 15 January 2018",2,"8,457"
Peter McCabe (rugby union),"3,855",Fewer than 30 watchers,39,Yes,"21:18, 4 November 2016","02:06, 24 September 2017",0,397
Jazz in Paris: Nuages,"2,083",Fewer than 30 watchers,25,Yes,"18:34, 12 December 2007","14:44, 7 September 2017",0,211
2013 Canoe Slalom World Cup,"32,049",Fewer than 30 watchers,79,Yes,"09:07, 8 April 2012","14:12, 17 December 2017",0,38
Pierre Nicolas d'Agoult,"1,318",Fewer than 30 watchers,8,Yes,"09:27, 15 July 2016","15:45, 24 August 2017",0,35
PARL,"7,830",Fewer than 30 watchers,25,Yes,"23:08, 9 April 2008","06:34, 27 October 2017",0,392
1969 NSWRFL season,"14,983",Fewer than 30 watchers,148,Yes,"05:49, 12 April 2007","19:31, 8 January 2018",2,309
2009–10 UCI Track Cycling World Cup Classics,"47,572",Fewer than 30 watchers,104,Yes,"15:11, 22 October 2009","02:28, 19 August 2017",0,88
Paul Koring,"1,348",Fewer than 30 watchers,29,Yes,"22:15, 1 August 2009","19:44, 1 July 2017",0,80
2004 IIHF European Women's Champions Cup,"2,788",Fewer than 30 watchers,17,Yes,"20:53, 29 August 2011","18:26, 4 January 2018",1,55
Conseil regional de l'environnement de Montreal,"2,802",Fewer than 30 watchers,6,Yes,"04:16, 18 June 2011","08:31, 12 August 2017",0,44
Samir Ranjan Barman,"2,564",Fewer than 30 watchers,30,Yes,"03:44, 16 December 2008","09:44, 17 July 2017",0,590
Tadashi Munakata,"1,735",Fewer than 30 watchers,9,Yes,"08:00, 3 January 2017","16:33, 7 August 2017",0,21
"List of people from Burlington, Vermont","8,729",Fewer than 30 watchers,159,Yes,"15:11, 12 May 2009","16:26, 21 December 2017",0,968
Tienoxolol,"1,678",Fewer than 30 watchers,10,Yes,"18:23, 4 January 2014","10:03, 1 June 2016",0,82
Gabriel Prize,"4,227",Fewer than 30 watchers,31,Yes,"18:39, 13 November 2011","22:39, 9 October 2017",0,57
Small-cell carcinoma,"20,894",45,257,12,"04:42, 27 September 2004","01:50, 9 January 2018",1,"15,807"
Ukrainian Hockey League,"1,633",Fewer than 30 watchers,9,Yes,"19:46, 17 September 2011","17:37, 20 October 2017",0,363
"Vasaplatsen, Gothenburg",748,Fewer than 30 watchers,16,Yes,"18:34, 29 June 2007","17:32, 21 October 2014",0,59
Phelipara confusa,699,Fewer than 30 watchers,2,Yes,"00:24, 9 January 2015","11:00, 28 March 2015",0,19
John Yates (bishop),"7,805",Fewer than 30 watchers,83,Yes,"20:00, 4 March 2008","05:55, 27 October 2017",0,137
"History of Pasadena, California","19,015",Fewer than 30 watchers,107,Yes,"03:50, 4 November 2009","04:42, 22 January 2018",1,"1,300"
Latina Televisión,"9,306",Fewer than 30 watchers,114,Yes,"23:50, 10 January 2006","20:01, 15 September 2017",0,418
Cetus Corporation,"5,679",Fewer than 30 watchers,33,Yes,"21:03, 6 April 2006","23:05, 31 May 2017",0,464
Strobelite Seduction,"5,189",Fewer than 30 watchers,90,Yes,"11:51, 22 June 2008","15:07, 19 June 2017",0,550
2001 Fed Cup World Group – Pool B,"5,913",Fewer than 30 watchers,4,Yes,"11:03, 5 June 2012","04:15, 9 April 2016",0,26
Meymeh District,655,Fewer than 30 watchers,5,Yes,"22:56, 28 September 2011","20:27, 16 January 2014",0,36
Carex reznicekii,"1,267",Fewer than 30 watchers,5,Yes,"14:44, 29 October 2017","23:44, 17 January 2018",1,32
Ivana Chubbuck,"3,145",Fewer than 30 watchers,29,Yes,"14:09, 26 March 2016","12:34, 24 October 2016",0,"3,913"
EIF2B5,"8,705",Fewer than 30 watchers,27,Yes,"02:12, 18 December 2007","00:23, 31 August 2017",0,121
Christian M'Pumbu,"13,606",Fewer than 30 watchers,270,Yes,"00:29, 30 April 2009","14:02, 12 November 2017",0,"1,980"
Citroën concept cars,"6,593",Fewer than 30 watchers,39,Yes,"09:17, 23 February 2015","12:44, 25 June 2017",0,637
Kolbotek,"1,522",Fewer than 30 watchers,32,Yes,"09:11, 12 December 2008","22:17, 27 October 2017",0,89
Mirpur Mukto Dibos,"1,168",Fewer than 30 watchers,25,Yes,"07:42, 8 July 2013","13:06, 28 February 2016",0,43
Moreton Hall School,"17,926",Fewer than 30 watchers,188,Yes,"16:29, 13 July 2010","22:47, 15 November 2017",0,495
Coherent turbulent structure,"18,301",Fewer than 30 watchers,26,Yes,"21:53, 8 October 2014","10:37, 17 August 2017",0,459
Bobby Ball,"10,536",Fewer than 30 watchers,307,Yes,"20:41, 28 October 2004","21:43, 26 December 2017",1,"8,717"
Villabona,"4,873",Fewer than 30 watchers,59,Yes,"05:34, 11 October 2005","16:14, 6 March 2017",0,88
E-Foundation for Cancer Research,"1,216",Fewer than 30 watchers,19,Yes,"02:47, 1 March 2007","21:53, 17 August 2017",0,31
2015 World Judo Championships – Men's 60 kg,"11,214",Fewer than 30 watchers,16,Yes,"15:58, 23 August 2015","23:31, 28 August 2015",0,59
Aaron Smith (author),"5,520",Fewer than 30 watchers,43,Yes,"01:50, 7 May 2012","21:06, 24 June 2017",0,78
Geriatric oncology,"11,831",Fewer than 30 watchers,58,Yes,"17:26, 2 November 2008","14:02, 31 July 2017",0,82
Sana Yadi Reddy,"30,016",Fewer than 30 watchers,35,Yes,"06:58, 7 May 2016","18:36, 19 January 2018",1,207
Muhammad Karam Shah al-Azhari,"3,296",Fewer than 30 watchers,159,Yes,"19:13, 7 July 2006","19:35, 7 December 2017",0,735
Constituency PP-278 (Bahawalnagar-II),420,Fewer than 30 watchers,9,Yes,"17:02, 26 November 2014","09:38, 2 November 2016",0,26
"Anytown, USA","4,766",Fewer than 30 watchers,46,Yes,"21:22, 26 May 2005","20:33, 7 July 2017",0,235
Fred Creighton,"4,805",Fewer than 30 watchers,56,Yes,"19:46, 3 July 2007","03:18, 14 December 2017",0,143
Henri-Pierre Roché,"7,280",Fewer than 30 watchers,108,Yes,"18:53, 10 November 2004","06:37, 4 January 2018",1,886
Walter R. Tucker III,"6,050",Fewer than 30 watchers,120,Yes,"21:01, 4 September 2004","21:47, 11 December 2017",0,321
House at 44 Temple Street,"1,909",Fewer than 30 watchers,24,Yes,"21:10, 10 August 2008","18:35, 8 July 2017",0,45
Henrik Hagtvedt,"4,453",Fewer than 30 watchers,36,Yes,"01:59, 14 October 2006","20:38, 2 June 2017",0,47
Harlem Heights,"7,476",Fewer than 30 watchers,86,Yes,"04:49, 21 January 2009","06:18, 11 September 2017",0,353
Heimo Rekonen,845,Fewer than 30 watchers,3,Yes,"07:10, 13 October 2014","03:12, 31 March 2017",0,37
Hank Laventhol,"3,850",Fewer than 30 watchers,55,Yes,"19:59, 26 July 2010","15:25, 9 October 2017",0,47
Sojczynek,"1,458",Fewer than 30 watchers,8,Yes,"02:03, 30 July 2008","11:37, 25 March 2017",0,41
Router (computing),"27,859",380,"3,088",18,"19:39, 3 October 2001","10:06, 19 January 2018",6,"53,558"
Eva Kampe,"4,030",Fewer than 30 watchers,7,Yes,"14:37, 29 November 2016","02:02, 8 December 2017",0,36
Azougui,"2,851",Fewer than 30 watchers,30,Yes,"17:44, 9 January 2005","13:44, 30 September 2017",0,85
Raazi,"3,170",Fewer than 30 watchers,105,Yes,"08:40, 9 August 2017","07:02, 23 January 2018",16,"50,976"
Cosette Simon,"2,809",Fewer than 30 watchers,39,Yes,"03:36, 14 June 2006","12:28, 13 August 2017",0,78
Eucalyptus perangusta,651,Fewer than 30 watchers,4,Yes,"12:44, 22 February 2016","10:21, 14 December 2017",0,20
Fabidji,"3,117",Fewer than 30 watchers,7,Yes,"17:07, 24 December 2009","02:50, 5 December 2017",0,35
Frankie Arion,"15,255",Fewer than 30 watchers,134,Yes,"01:58, 9 June 2008","13:05, 22 December 2017",0,271
Thomas Dermody,"1,887",Fewer than 30 watchers,25,Yes,"15:23, 19 September 2004","01:38, 7 February 2016",0,76
Heapstown Cairn,"3,848",Fewer than 30 watchers,7,Yes,"22:04, 1 October 2016","12:08, 8 January 2017",0,62
Ramón J. Cárcano,"7,582",Fewer than 30 watchers,21,Yes,"06:28, 3 February 2011","04:16, 10 May 2016",0,44
Walker River (Northern Territory),"5,500",Fewer than 30 watchers,26,Yes,"11:17, 11 May 2015","21:59, 22 May 2017",0,49
Tone (DC band),"15,511",Fewer than 30 watchers,11,Yes,"21:43, 24 June 2016","11:59, 3 November 2017",0,108
118th General Hospital (United States Army),"1,986",Fewer than 30 watchers,24,Yes,"01:33, 5 November 2007","15:59, 13 January 2017",0,80
Agostino Cacciavillan,"10,762",Fewer than 30 watchers,130,Yes,"17:25, 13 April 2005","01:45, 31 December 2017",1,244
Charles E. Mills Secondary School,"3,467",Fewer than 30 watchers,63,Yes,"08:54, 13 July 2011","00:31, 5 October 2017",0,102
Sudhakar Pandey,"2,646",Fewer than 30 watchers,12,Yes,"04:20, 22 October 2015","09:05, 8 December 2017",0,56
Ancient Diocese of Lectoure,"6,085",Fewer than 30 watchers,38,Yes,"18:04, 2 October 2007","16:07, 19 June 2017",0,44
Ludwig Schick,"4,152",Fewer than 30 watchers,10,Yes,"16:26, 6 April 2013","11:24, 6 September 2017",0,73
The Last Words (band),"6,244",Fewer than 30 watchers,102,Yes,"07:15, 22 February 2006","12:04, 19 August 2017",0,92
British Continental Airways,"3,160",Fewer than 30 watchers,9,Yes,"19:35, 28 December 2012","20:09, 15 November 2017",0,83
Live: No Time for Tuning,"1,678",Fewer than 30 watchers,29,Yes,"17:03, 7 December 2005","12:07, 9 July 2017",0,34
Athar Abbas,"5,331",Fewer than 30 watchers,90,Yes,"20:45, 16 January 2008","11:01, 6 January 2018",1,815
Get Out (board game),"3,825",Fewer than 30 watchers,30,Yes,"04:10, 10 August 2005","20:55, 27 March 2017",0,84
Fred Herd,"6,127",Fewer than 30 watchers,67,Yes,"14:12, 28 June 2005","14:33, 24 July 2016",0,135
2004–05 Regional One-Day Competition,"15,409",Fewer than 30 watchers,5,Yes,"11:09, 19 January 2016","17:09, 8 September 2017",0,26
Asarvan,"1,912",Fewer than 30 watchers,6,Yes,"22:27, 17 December 2012","03:52, 12 March 2017",0,29
Emma Matthews,"8,809",Fewer than 30 watchers,107,Yes,"23:56, 6 September 2009","06:15, 9 January 2018",1,271
Julius Berman,"3,432",Fewer than 30 watchers,46,Yes,"08:25, 8 July 2009","19:12, 30 December 2017",1,147
South African Class 4 4-8-2,"11,433",Fewer than 30 watchers,31,Yes,"00:22, 31 May 2011","13:07, 5 July 2017",0,40
Seosan Baseball Training Center,"3,000",Fewer than 30 watchers,19,Yes,"14:43, 8 May 2012","17:16, 1 May 2017",0,37
Ashley Coleman,"3,135",Fewer than 30 watchers,51,Yes,"04:35, 27 March 2006","02:13, 18 November 2017",0,424
Pirlo,658,Fewer than 30 watchers,36,Yes,"14:40, 20 July 2007","17:01, 20 May 2017",0,"1,501"
Ancula fuegiensis,"1,671",Fewer than 30 watchers,4,Yes,"20:05, 9 December 2014","14:17, 26 May 2017",0,24
Jónas Hallgrímsson,"9,421",Fewer than 30 watchers,153,Yes,"16:09, 14 March 2004","15:34, 6 January 2018",1,552
Darcy's law for multiphase flow,"27,780",Fewer than 30 watchers,25,Yes,"22:40, 21 January 2017","05:54, 12 December 2017",0,259
Union of Brussels,"2,716",Fewer than 30 watchers,31,Yes,"11:22, 2 October 2005","21:57, 20 November 2016",0,146
"Mirogniew, Pomeranian Voivodeship","1,743",Fewer than 30 watchers,8,Yes,"14:01, 16 February 2009","05:27, 5 December 2017",0,34
Napoleon,"3,399",Fewer than 30 watchers,42,Yes,"19:15, 21 December 2007","21:52, 21 October 2017",0,303
Mickey,"4,643",Fewer than 30 watchers,282,Yes,"01:57, 24 August 2004","07:20, 11 January 2018",3,"1,417"
The Magician's House,"12,641",Fewer than 30 watchers,72,Yes,"10:14, 22 December 2005","18:22, 13 September 2017",0,484
Schar School of Policy and Government,"3,930",Fewer than 30 watchers,125,Yes,"16:08, 19 October 2007","17:12, 31 October 2017",0,264
Francisco Figueredo,"1,387",Fewer than 30 watchers,2,Yes,"12:41, 21 October 2017","21:37, 30 November 2017",0,28
Lee McBee,"3,276",Fewer than 30 watchers,60,Yes,"05:14, 22 January 2005","16:48, 5 September 2017",0,104
